Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  1.1256974123084376 action  2
reward  2.9483923251399746 action  2
reward  -0.44952256600901136 action  2
reward  3.2000201053259447 action  2
reward  -3.2291138706010813 action  3
reward  2.8979208722527803 action  2
reward  -0.26119663332154913 action  2
reward  -3.3074601749713666 action  3
reward  0.20535531462230666 action  2
reward  -2.8617671747195446 action  3
reward  1.2460669471560208 action  2
reward  -2.6772343168910866 action  3
reward  -2.471064575508791 action  0
reward  1.2362897721724664 action  2
reward  -0.34643020968572386 action  2
reward  1.0429541862108749 action  2
reward  1.0039947831551614 action  2
reward  -2.6754054236648415 action  0
reward  0.027179570620529614 action  2
reward  3.8557156966478034 action  2
reward  0.02392682356999104 action  2
reward  -2.2921868540616104 action  3
reward  -2.0625158341358643 action  3
reward  -2.1785809404366034 action  0
reward  -2.1194104363287067 action  0
reward  0.8191355889673104 action  2
reward  -1.7486545083760052 action  3
reward  4.404246027057224 action  2
reward  -1.690259758292824 action  3
reward  -1.7611267671779842 action  0
reward  3.4210066409500373 action  2
reward  1.4890911186467803 action  2
reward  0.5590779989131078 action  2
reward  -1.1089307805958402 action  3
reward  -1.0645130180516265 action  3
reward  -0.695006254809299 action  3
reward  4.410700688081914 action  2
reward  -0.4951028920029319 action  3
reward  3.8304321020379293 action  2
reward  -0.23795503720918873 action  3
reward  -0.48947781011605684 action  0
reward  0.11379393959538334 action  3
reward  -0.18300117334263177 action  0
reward  4.644082254738163 action  2
reward  0.5158145088734056 action  3
reward  0.17027470695612124 action  0
reward  0.2224165016916686 action  0
reward  6.570081671175427 action  2
reward  3.4162503292476005 action  2
reward  3.2838781818641793 action  2
reward  2.265060127275473 action  2
reward  5.531079002008323 action  2
reward  -0.1338495314407453 action  0
reward  6.242773748366784 action  2
reward  -0.7312310886689193 action  1
reward  3.993710079137668 action  2
reward  -0.3538558014095088 action  0
reward  3.9344836751583445 action  2
reward  3.1134677915999847 action  2
reward  -2.9937122779874543 action  1
reward  1.66084761468137 action  2
reward  0.011128916980408132 action  2
reward  0.48754199188223596 action  2
reward  -2.7897238060270553 action  0
reward  1.9899295430077302 action  2
reward  -0.5504209814057532 action  2
reward  -3.072470540592134 action  1
reward  0.5581239409532202 action  2
reward  -2.8471256082704017 action  1
reward  2.5320676520333167 action  2
reward  -0.9003342424971266 action  2
reward  2.64766710977288 action  2
reward  2.333209316501052 action  2
reward  -2.8168515586500846 action  1
reward  -2.3663420185994823 action  0
reward  2.651150890132709 action  2
reward  3.5565504904558596 action  2
reward  0.9982006926076934 action  2
reward  3.5989263234083326 action  2
reward  -2.584551045726512 action  1
reward  -2.400361518493624 action  1
reward  2.4927723017132424 action  2
reward  0.8440011935355016 action  2
reward  1.1907893038899828 action  2
reward  1.3888231595318359 action  2
reward  0.3986184787135841 action  2
reward  2.0173088784596986 action  2
reward  -2.3780566441718194 action  1
reward  -2.1584670649429953 action  1
reward  0.3602988986303018 action  2
reward  -1.9310585199573171 action  1
reward  3.0446673467929743 action  2
reward  4.869721037228783 action  2
reward  -1.7710308605726783 action  1
reward  1.9769416745287003 action  2
